sku,Bildschirmgröße,Speicher,Prozessor,Kamera,GPS,Gewicht,short_description,long_description
24751053,3.3'',512 MB,MediaTek 1 GHz,2 MP,false,107 g,"Samsung SM-G110H Galaxy, 8,38 cm (3.3""), 240 x 320 Pixel, TFT, 1 GHz, 512 MB, MicroSD (TransFlash)","Samsung SM-G110H, Galaxy. Bildschirmdiagonale: 8,38 cm (3.3""), Bildschirmauflösung: 240 x 320 Pixel, Display-Typ: TFT. Prozessor Taktfrequenz: 1 GHz. Internes RAM: 512 MB, Kompatible Speicherkarten: MicroSD (TransFlash), Max. Speicherkartengröße: 32 GB. Hauptkamera-Auflösung: 2 MP, CCD-Bildsensor: CMOS. Sim Card Steckplätze: Single SIM, 2G Standard: GSM, 3G Standard: WCDMA"
26408559,5.1'',32 GB,"MediaTek 2,1 GHz",16 MP,true,132 g,"Samsung Galaxy SM-G925F, Single SIM, Android, NanoSIM, GSM, HSPA, LTE","Samsung SM-G925F, Galaxy. Bildschirmdiagonale: 12,9 cm (5.1""), Bildschirmauflösung: 2560 x 1440 Pixel, Display-Typ: SAMOLED. Prozessor-Taktfrequenz: 2,1 GHz, Co-Prozessor-Taktfrequenz: 1,5 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 3072 MB. Hauptkamera-Auflösung: 16 MP, Videoaufnahme-Modi: 1080p, 2160p, Maximale Bildfrequenz: 30 fps. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM"
29544908,5.7'',32 GB,"MediaTek 2,1 GHz",16 MP,true,153 g,"Samsung Galaxy SM-G928F, Single SIM, Android, NanoSIM, GSM, UMTS, LTE","Samsung SM-G928F, Galaxy. Bildschirmdiagonale: 14,5 cm (5.7""), Bildschirmauflösung: 2560 x 1440 Pixel, Display-Typ: SAMOLED. Prozessor-Taktfrequenz: 2,1 GHz, Co-Prozessor-Taktfrequenz: 1,5 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 4096 MB, Interner RAM-Typ: LPDDR4. Hauptkamera-Auflösung: 16 MP, ISO-Empfindlichkeit: Auto, Weißabgleich: Auto. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM"
26408542,5.1'',32 GB,"MediaTek 2,1 GHz",16 MP,true,153 g,"Samsung Galaxy SM-G928F, Single SIM, Android, NanoSIM, GSM, UMTS, LTE","Samsung SM-G928F, Galaxy. Bildschirmdiagonale: 14,5 cm (5.7""), Bildschirmauflösung: 2560 x 1440 Pixel, Display-Typ: SAMOLED. Prozessor-Taktfrequenz: 2,1 GHz, Co-Prozessor-Taktfrequenz: 1,5 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 4096 MB, Interner RAM-Typ: LPDDR4. Hauptkamera-Auflösung: 16 MP, ISO-Empfindlichkeit: Auto, Weißabgleich: Auto. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM"
26346564,5.1'',32 GB,"MediaTek 2,1 GHz",16 MP,true,138 g,"Samsung Galaxy SM-G920F, Single SIM, Android, NanoSIM, GSM, HSPA, LTE","Samsung SM-G920F, Galaxy. Bildschirmdiagonale: 12,9 cm (5.1""), Bildschirmauflösung: 2560 x 1440 Pixel, Display-Typ: SAMOLED. Prozessor-Taktfrequenz: 2,1 GHz, Co-Prozessor-Taktfrequenz: 1,5 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 3072 MB. Hauptkamera-Auflösung: 16 MP, Videoaufnahme-Modi: 1080p, 2160p, Maximale Bildfrequenz: 30 fps. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM"
21736789,4'',4 GB,MediaTek 1 GHz,3 MP,false,126 g,"Samsung GT-S7390 Galaxy, 10,16 cm (4""), 480 x 800 Pixel, TFT, 1 GHz, 512 MB, 4 GB","Samsung GT-S7390, Galaxy. Bildschirmdiagonale: 10,16 cm (4""), Bildschirmauflösung: 480 x 800 Pixel, Display-Typ: TFT. Prozessor Taktfrequenz: 1 GHz. Internes RAM: 512 MB, Interne Speicherkapazität: 4 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 3 MP, Maximale Bildfrequenz: 30 fps, Video-Capture Auflösung: 1280 x 720 Pixel. Sim Card Steckplätze: Single SIM, 2G Standard: GSM, 3G Standard: UMTS"
26552089,4.5'',8 GB,"MediaTek 1,2 GHz",5 MP,true,154 g,"Samsung Galaxy 3, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, UMTS, WCDMA, LTE, Micro-USB","Samsung 3, Galaxy. Bildschirmdiagonale: 11,4 cm (4.5""), Bildschirmauflösung: 480 x 800 Pixel, Display-Typ: TFT. Prozessor-Taktfrequenz: 1,2 GHz. Internes RAM: 1536 MB, Interne Speicherkapazität: 8 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 5 MP, Videoaufnahme-Modi: 1080p, Maximale Bildfrequenz: 30 fps. SIM-Kartentyp: MicroSIM, 2G-Standards: EDGE, GPRS, GSM, 3G-Standards: HSPA+, UMTS, WCDMA"
29847624,6'',16 GB,"MediaTek 1,7 GHz",13 MP,true,187 g,"Sony Xperia C5 Ultra, Android, NanoSIM, EDGE, GSM, GPRS, HSDPA, HSPA+, HSUPA, LTE, Micro-USB","Sony C5 Ultra, Xperia. Bildschirmdiagonale: 15,2 cm (6""), Bildschirmauflösung: 1920 x 1080 Pixel, Anzahl der Bildschirmfarben: 16.0 M. Prozessor-Taktfrequenz: 1,7 GHz, Prozessorfamilie: MediaTek, Prozessor: MT6752. Interne Speicherkapazität: 16 GB, Internes RAM: 2048 MB, Interner RAM-Typ: DDR3. Hauptkamera-Auflösung: 13 MP, Digitaler Zoom: 4x, Weißabgleich: Auto. SIM-Kartentyp: NanoSIM, 2G-Standards: EDGE, GSM, GPRS, 3G-Standards: HSDPA, HSPA+, HSUPA"
26534020,5'',8 GB,"Qualcomm Snapdragon 1,5 GHz",13 MP,true,136 g,"Sony Xperia M4 Aqua, Single SIM, Android, EDGE, GPRS, GSM, HSPA+, UMTS, LTE, Micro-USB","Sony M4 Aqua, Xperia. Bildschirmdiagonale: 12,7 cm (5""), Bildschirmauflösung: 1280 x 720 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 1,5 GHz, Prozessorfamilie: Qualcomm Snapdragon, Co-Prozessor-Taktfrequenz: 1 GHz. Interne Speicherkapazität: 8 GB, Internes RAM: 2048 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 13 MP, Digitaler Zoom: 4x, Weißabgleich: Auto. Sim Card Steckplätze: Single SIM, 2G-Standards: EDGE, GPRS, GSM, 3G-Standards: HSPA+, UMTS"
24602396,4.6'',16 GB,"Qualcomm Snapdragon 2,5 GHz","20,7 MP",true,129 g,"Sony Z3 Compact Xperia, 11,68 cm (4.6""), 1280 x 720 Pixel, TFT, 2,5 GHz, Qualcomm Snapdragon, MSM 8974AC","Sony Z3 Compact, Xperia. Bildschirmdiagonale: 11,68 cm (4.6""), Bildschirmauflösung: 1280 x 720 Pixel, Display-Typ: TFT. Prozessor Taktfrequenz: 2,5 GHz, Prozessorfamilie: Qualcomm Snapdragon, Prozessor: MSM 8974AC. Internes RAM: 2048 MB, Interne Speicherkapazität: 16 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 20,7 MP, CCD-Sensorgröße: 1/0,0906 mm (1/2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G Standard: EDGE, GPRS, GSM"
29579061,5.2'',32 GB,"Qualcomm Snapdragon 2,5 GHz",23 MP,true,154 g,"Sony Xperia Xperia Z5, Single SIM, Android, NanoSIM, GSM, GPRS, HSPA, UMTS, LTE","Sony Xperia Z5, Xperia. Bildschirmdiagonale: 13,2 cm (5.2""), Bildschirmauflösung: 1920 x 1080 Pixel. Prozessorfamilie: Qualcomm Snapdragon. Interne Speicherkapazität: 32 GB, Internes RAM: 2048 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 23 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM, GPRS"
29579058,5.2'',32 GB,"Qualcomm Snapdragon 2,5 GHz",23 MP,true,154 g,"Sony Xperia Xperia Z5, Single SIM, Android, NanoSIM, GSM, GPRS, HSPA, UMTS, LTE","Sony Xperia Z5, Xperia. Bildschirmdiagonale: 13,2 cm (5.2""), Bildschirmauflösung: 1920 x 1080 Pixel. Prozessorfamilie: Qualcomm Snapdragon. Interne Speicherkapazität: 32 GB, Internes RAM: 2048 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 23 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM, GPRS"
29801571,5.2'',32 GB,Qualcomm Snapdragon 2 GHz,23 MP,true,154 g,"Sony Xperia Z5, Single SIM, Android, NanoSIM, EDGE, GPRS, GSM, HSPA+, UMTS, LTE","Sony Z5, Xperia. Bildschirmdiagonale: 13,2 cm (5.2""), Bildschirmauflösung: 1920 x 1080 Pixel, Display-Typ: IPS. Prozessor-Taktfrequenz: 2 GHz, Prozessorfamilie: Qualcomm Snapdragon, Co-Prozessor-Taktfrequenz: 1,5 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 3072 MB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 23 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: EDGE, GPRS, GSM"
29579056,4.6'',32 GB,Qualcomm Snapdragon 2 GHz,23 MP,true,138 g,"Sony Xperia Xperia Z5 Compact, Single SIM, Schwarz, Android, NanoSIM, GSM, GPRS, HSPA, UMTS","Sony Xperia Z5 Compact, Xperia. Bildschirmdiagonale: 11,7 cm (4.6""), Bildschirmauflösung: 1280 x 720 Pixel. Prozessorfamilie: Qualcomm Snapdragon. Internes RAM: 2048 MB, Interne Speicherkapazität: 32 GB, Kompatible Speicherkarten: MicroSD (TransFlash). Hauptkamera-Auflösung: 23 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: GSM, GPRS"
29731567,5.5'',32 GB,"Qualcomm Snapdragon 1,5 GHz",23 MP,true,181 g,"Sony Xperia Z5 Premium, Single SIM, Android, NanoSIM, EDGE, GSM, GPRS, HSDPA, HSUPA, UMTS, LTE","Sony Z5 Premium, Xperia. Bildschirmdiagonale: 14 cm (5.5""), Bildschirmauflösung: 2160 x 3840 Pixel, Display-Typ: TFT. Prozessor-Taktfrequenz: 1,5 GHz, Prozessorfamilie: Qualcomm Snapdragon, Co-Prozessor-Taktfrequenz: 2 GHz. Interne Speicherkapazität: 32 GB, Internes RAM: 3072 MB, Kompatible Speicherkarten: MicroSD (TransFlash), MicroSDXC. Hauptkamera-Auflösung: 23 MP, CCD-Sensorgröße: 25,4 / 2,3 mm (1 / 2.3""), Digitaler Zoom: 8x. Sim Card Steckplätze: Single SIM, SIM-Kartentyp: NanoSIM, 2G-Standards: EDGE, GSM, GPRS"
