sku,Processor,Memory,Design,Storage,Graphics,short_description,long_description
26427900,"3,2 GHz",4 GB,Black,500 GB,Intel HD Graphics,"Acer Extensa M2610, G3250, 64-bit, HDD, Intel Pentium G, DVD Super Multi, Black","Acer M2610, Extensa. Processor frequency: 3.2 GHz, Processor family: Intel Pentium G, Processor model: G3250. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1100 MHz"
29885591,"3,4 GHz",16 GB,Black,16 GB,Intel HD Graphics 530,"Acer Veriton M6640G, i7-6700, Tower, 64-bit, Hybrid-HDD, Intel Core i7-6xxx, DVD Super Multi","Acer M6640G, Veriton. Processor frequency: 3.4 GHz, Processor family: Intel Core i7-6xxx, Processor model: i7-6700. Internal memory: 16 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 1000 GB, Storage media: Hybrid-HDD, Hybrid hard drive (H-HDD) cache type: SSD. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 530, On-board graphics adapter outputs supported: DVI, Embedded DisplayPort (eDP), DisplayPort, HDMI, On-board graphics adapter base frequency: 350 MHz"
29911080,"3,6 GHz",8 GB,Black,16 GB,Intel HD Graphics 4600,"ASUS M M32AD-BE009T, i7-4790, Tower, HDD, Intel Core i7-4xxx, Black, Grey, Intel HD Graphics 4600","ASUS M32AD-BE009T, M. Processor frequency: 3.6 GHz, Processor family: Intel Core i7-4xxx, Processor model: i7-4790. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive interface: Serial ATA III. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz. Operating system installed: Windows 10 Home"
24403939,"3,3 GHz",8 GB,Black,500 GB,Intel HD Graphics 4600,"DELL OptiPlex 3020, i5-4590, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
27128227,"3,3 GHz",8 GB,SFF,500 GB,Intel HD Graphics 4600,"DELL OptiPlex 3020, i5-4590, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD±RW","DELL 3020, OptiPlex. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
29374842,"3,5 GHz",16 GB,Black,256 GB,NVIDIA Quadro K2200,"Fujitsu CELSIUS M740, E5-1620V3, 64-bit, SSD, 10 - 35 °C, 5 - 85%, Intel Xeon E5 v3","Fujitsu M740, CELSIUS. Processor frequency: 3.5 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-1620V3. Internal memory: 16 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 256 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. Discrete graphics adapter model: NVIDIA Quadro K2200, Discrete graphics adapter memory: 4096 GB"
29374843,"2,4 GHz",16 GB,Desktop,256 GB,,"Fujitsu CELSIUS R940, E5-2630V3, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu R940, CELSIUS. Processor frequency: 2.4 GHz, Processor family: Intel Xeon E5 v3, Processor model: E5-2630V3. Internal memory: 16 GB, Internal memory type: DDR4-SDRAM, Maximum internal memory: 512 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. Operating system installed: Windows 7 Professional, Operating system architecture: 64-bit, Recovery operating system: Windows 8.1 Pro"
29804739,"3,3 GHz",4 GB,Desktop,500 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E420, i5-4590, Desktop, 64-bit, HDD, 10 - 35 °C, 5 - 85%","Fujitsu E420, ESPRIMO. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
29804808,"3,5 GHz",8 GB,Desktop,256 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Processor frequency: 3.5 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4690. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz"
29804957,"3,5 GHz",8 GB,Desktop,8 GB,Intel HD Graphics 4600,"Fujitsu ESPRIMO E920, i5-4690, Desktop, 64-bit, SSD, 10 - 35 °C, 5 - 85%","Fujitsu E920, ESPRIMO. Processor frequency: 3.5 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4690. Internal memory: 8 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 256 GB, Storage media: SSD, Solid-state drive capacity: 256 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1200 MHz"
29406823,3 GHz,4 GB,Micro Tower,500 GB,Intel HD Graphics 4600,"HP 200 280 G1, i5-4590S, Micro Tower, 64-bit, HDD, Intel Core i5-4xxx, DVD Super Multi","HP 280 G1, 200. Processor frequency: 3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590S. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
24673744,"3,3 GHz",4 GB,SFF,500 GB,Intel HD Graphics 4600,"HP EliteDesk 800 G1, i5-4590, SFF, 64-bit, HDD, 10 - 35 °C, 10 - 90%","HP 800 G1, EliteDesk. Processor frequency: 3.3 GHz, Processor family: Intel Core i5-4xxx, Processor: i5-4590. Internal memory: 4 GB, Internal memory type: DDR3-SDRAM, Maximum internal memory: 32 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD Super Multi. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
29891041,"3,2 GHz",4 GB,Desktop,500 GB,Intel HD Graphics 530,"HP EliteDesk P1G46EA, i5-6500, Desktop, 64-bit, HDD, Intel Core i5-6xxx, DVD±RW","HP P1G46EA, EliteDesk. Processor frequency: 3.2 GHz, Processor family: Intel Core i5-6xxx, Processor model: i5-6500. Internal memory: 4 GB, Internal memory type: DDR4-SDRAM, Memory layout (slots x size): 1 x 4 GB. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Optical drive type: DVD±RW. On-board graphics adapter model: Intel HD Graphics 530"
28552654,3 GHz,4 GB,SFF,1000 GB,Intel HD Graphics 4600,"HP ProDesk 400 G2.5 SFF, i5-4590S, SFF, 64-bit, HDD, Intel Core i5-4xxx, DVD Super Multi","HP 400 G2.5 SFF, ProDesk. Processor frequency: 3 GHz, Processor family: Intel Core i5-4xxx, Processor model: i5-4590S. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Maximum internal memory: 16 GB. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Optical drive type: DVD Super Multi, BD interface type: SATA. On-board graphics adapter model: Intel HD Graphics 4600, On-board graphics adapter base frequency: 350 MHz, On-board graphics adapter dynamic frequency (max): 1150 MHz"
