sku,Display,Storage,Processor,Camera,GPS,Weight,short_description,long_description
24751053,3.3",512 MB,MediaTek 1 GHz,2 MP,false,107 g,"Samsung SM-G110H Galaxy, 8.38 cm (3.3""), 240 x 320 pixels, TFT, 1 GHz, 512 MB, MicroSD (TransFlash)","Samsung SM-G110H, Galaxy. Display diagonal: 8.38 cm (3.3""), Display resolution: 240 x 320 pixels, Display type: TFT. Processor frequency: 1 GHz. Internal RAM: 512 MB, Compatible memory cards: MicroSD (TransFlash), Maximum memory card size: 32 GB. Main camera resolution (numeric): 2 MP, Sensor type: CMOS. SIM card capability: Single SIM, 2G standards: GSM, 3G standards: WCDMA"
26408559,5.1",32 GB,"MediaTek 2,1 GHz",16 MP,true,132 g,"Samsung Galaxy SM-G925F, Single SIM, Android, NanoSIM, GSM, HSPA, LTE","Samsung SM-G925F, Galaxy. Display diagonal: 12.9 cm (5.1""), Display resolution: 2560 x 1440 pixels, Display type: SAMOLED. Processor frequency: 2.1 GHz, Coprocessor frequency: 1.5 GHz. Internal storage capacity: 32 GB, Internal RAM: 3072 MB. Main camera resolution (numeric): 16 MP, Video recording modes: 1080p, 2160p, Maximum frame rate: 30 fps. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM"
29544908,5.7",32 GB,"MediaTek 2,1 GHz",16 MP,true,153 g,"Samsung Galaxy SM-G928F, Single SIM, Android, NanoSIM, GSM, UMTS, LTE","Samsung SM-G928F, Galaxy. Display diagonal: 14.5 cm (5.7""), Display resolution: 2560 x 1440 pixels, Display type: SAMOLED. Processor frequency: 2.1 GHz, Coprocessor frequency: 1.5 GHz. Internal storage capacity: 32 GB, Internal RAM: 4096 MB, Internal RAM type: LPDDR4. Main camera resolution (numeric): 16 MP, ISO sensitivity: Auto, White balance: Auto. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM"
26408542,5.1",32 GB,"MediaTek 2,1 GHz",16 MP,true,153 g,"Samsung Galaxy SM-G928F, Single SIM, Android, NanoSIM, GSM, UMTS, LTE","Samsung SM-G928F, Galaxy. Display diagonal: 14.5 cm (5.7""), Display resolution: 2560 x 1440 pixels, Display type: SAMOLED. Processor frequency: 2.1 GHz, Coprocessor frequency: 1.5 GHz. Internal storage capacity: 32 GB, Internal RAM: 4096 MB, Internal RAM type: LPDDR4. Main camera resolution (numeric): 16 MP, ISO sensitivity: Auto, White balance: Auto. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM"
26346564,5.1",32 GB,"MediaTek 2,1 GHz",16 MP,true,138 g,"Samsung Galaxy SM-G920F, Single SIM, Android, NanoSIM, GSM, HSPA, LTE","Samsung SM-G920F, Galaxy. Display diagonal: 12.9 cm (5.1""), Display resolution: 2560 x 1440 pixels, Display type: SAMOLED. Processor frequency: 2.1 GHz, Coprocessor frequency: 1.5 GHz. Internal storage capacity: 32 GB, Internal RAM: 3072 MB. Main camera resolution (numeric): 16 MP, Video recording modes: 1080p, 2160p, Maximum frame rate: 30 fps. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM"
21736789,4",4 GB,MediaTek 1 GHz,3 MP,false,126 g,"Samsung GT-S7390 Galaxy, 10.16 cm (4""), 480 x 800 pixels, TFT, 1 GHz, 512 MB, 4 GB","Samsung GT-S7390, Galaxy. Display diagonal: 10.16 cm (4""), Display resolution: 480 x 800 pixels, Display type: TFT. Processor frequency: 1 GHz. Internal RAM: 512 MB, Internal storage capacity: 4 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 3 MP, Maximum frame rate: 30 fps, Video capture resolution (max): 1280 x 720 pixels. SIM card capability: Single SIM, 2G standards: GSM, 3G standards: UMTS"
26552089,4.5",8 GB,"MediaTek 1,2 GHz",5 MP,true,154 g,"Samsung Galaxy 3, Android, MicroSIM, EDGE, GPRS, GSM, HSPA+, UMTS, WCDMA, LTE, Micro-USB","Samsung 3, Galaxy. Display diagonal: 11.4 cm (4.5""), Display resolution: 480 x 800 pixels, Display type: TFT. Processor frequency: 1.2 GHz. Internal RAM: 1536 MB, Internal storage capacity: 8 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 5 MP, Video recording modes: 1080p, Maximum frame rate: 30 fps. SIM card type: MicroSIM, 2G standards: EDGE, GPRS, GSM, 3G standards: HSPA+, UMTS, WCDMA"
29847624,6",16 GB,"MediaTek 1,7 GHz",13 MP,true,187 g,"Sony Xperia C5 Ultra, Android, NanoSIM, EDGE, GSM, GPRS, HSDPA, HSPA+, HSUPA, LTE, Micro-USB","Sony C5 Ultra, Xperia. Display diagonal: 15.2 cm (6""), Display resolution: 1920 x 1080 pixels, Display number of colours: 16.0 M. Processor frequency: 1.7 GHz, Processor family: MediaTek, Processor model: MT6752. Internal storage capacity: 16 GB, Internal RAM: 2048 MB, Internal RAM type: DDR3. Main camera resolution (numeric): 13 MP, Digital zoom: 4x, White balance: Auto. SIM card type: NanoSIM, 2G standards: EDGE, GSM, GPRS, 3G standards: HSDPA, HSPA+, HSUPA"
26534020,5",8 GB,"Qualcomm Snapdragon 1,5 GHz",13 MP,true,136 g,"Sony Xperia M4 Aqua, Single SIM, Android, EDGE, GPRS, GSM, HSPA+, UMTS, LTE, Micro-USB","Sony M4 Aqua, Xperia. Display diagonal: 12.7 cm (5""), Display resolution: 1280 x 720 pixels, Display type: IPS. Processor frequency: 1.5 GHz, Processor family: Qualcomm Snapdragon, Coprocessor frequency: 1 GHz. Internal storage capacity: 8 GB, Internal RAM: 2048 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 13 MP, Digital zoom: 4x, White balance: Auto. SIM card capability: Single SIM, 2G standards: EDGE, GPRS, GSM, 3G standards: HSPA+, UMTS"
24602396,4.6",16 GB,"Qualcomm Snapdragon 2,5 GHz","20,7 MP",true,129 g,"Sony Z3 Compact Xperia, 11.68 cm (4.6""), 1280 x 720 pixels, TFT, 2.5 GHz, Qualcomm Snapdragon, MSM 8974AC","Sony Z3 Compact, Xperia. Display diagonal: 11.68 cm (4.6""), Display resolution: 1280 x 720 pixels, Display type: TFT. Processor frequency: 2.5 GHz, Processor family: Qualcomm Snapdragon, Processor model: MSM 8974AC. Internal RAM: 2048 MB, Internal storage capacity: 16 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 20.7 MP, Optical sensor size: 1/0.0906 mm (1/2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: EDGE, GPRS, GSM"
29579061,5.2",32 GB,"Qualcomm Snapdragon 2,5 GHz",23 MP,true,154 g,"Sony Xperia Xperia Z5, Single SIM, Android, NanoSIM, GSM, GPRS, HSPA, UMTS, LTE","Sony Xperia Z5, Xperia. Display diagonal: 13.2 cm (5.2""), Display resolution: 1920 x 1080 pixels. Processor family: Qualcomm Snapdragon. Internal storage capacity: 32 GB, Internal RAM: 2048 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 23 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM, GPRS"
29579058,5.2",32 GB,"Qualcomm Snapdragon 2,5 GHz",23 MP,true,154 g,"Sony Xperia Xperia Z5, Single SIM, Android, NanoSIM, GSM, GPRS, HSPA, UMTS, LTE","Sony Xperia Z5, Xperia. Display diagonal: 13.2 cm (5.2""), Display resolution: 1920 x 1080 pixels. Processor family: Qualcomm Snapdragon. Internal storage capacity: 32 GB, Internal RAM: 2048 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 23 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM, GPRS"
29801571,5.2",32 GB,Qualcomm Snapdragon 2 GHz,23 MP,true,154 g,"Sony Xperia Z5, Single SIM, Android, NanoSIM, EDGE, GPRS, GSM, HSPA+, UMTS, LTE","Sony Z5, Xperia. Display diagonal: 13.2 cm (5.2""), Display resolution: 1920 x 1080 pixels, Display type: IPS. Processor frequency: 2 GHz, Processor family: Qualcomm Snapdragon, Coprocessor frequency: 1.5 GHz. Internal storage capacity: 32 GB, Internal RAM: 3072 MB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 23 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: EDGE, GPRS, GSM"
29579056,4.6",32 GB,Qualcomm Snapdragon 2 GHz,23 MP,true,138 g,"Sony Xperia Xperia Z5 Compact, Single SIM, Black, Android, NanoSIM, GSM, GPRS, HSPA, UMTS","Sony Xperia Z5 Compact, Xperia. Display diagonal: 11.7 cm (4.6""), Display resolution: 1280 x 720 pixels. Processor family: Qualcomm Snapdragon. Internal RAM: 2048 MB, Internal storage capacity: 32 GB, Compatible memory cards: MicroSD (TransFlash). Main camera resolution (numeric): 23 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: GSM, GPRS"
29731567,5.5",32 GB,"Qualcomm Snapdragon 1,5 GHz",23 MP,true,181 g,"Sony Xperia Z5 Premium, Single SIM, Android, NanoSIM, EDGE, GSM, GPRS, HSDPA, HSUPA, UMTS, LTE","Sony Z5 Premium, Xperia. Display diagonal: 14 cm (5.5""), Display resolution: 2160 x 3840 pixels, Display type: TFT. Processor frequency: 1.5 GHz, Processor family: Qualcomm Snapdragon, Coprocessor frequency: 2 GHz. Internal storage capacity: 32 GB, Internal RAM: 3072 MB, Compatible memory cards: MicroSD (TransFlash), MicroSDXC. Main camera resolution (numeric): 23 MP, Optical sensor size: 25.4 / 2.3 mm (1 / 2.3""), Digital zoom: 8x. SIM card capability: Single SIM, SIM card type: NanoSIM, 2G standards: EDGE, GSM, GPRS"
