sku,Processor,Memory,Display,Storage,Color,short_description,long_description
29750512,"AMD A 2,2 GHz",4 GB,15.6",500 GB,Grey,"HP ProBook G3, A8-7410, DVD Super Multi DL, Touchpad, Windows 10 Pro, Lithium-Ion (Li-Ion), 64-bit","HP ProBook G3. Product type: Notebook, Colour of product: Black, Grey, Form factor: Clamshell. Processor frequency: 2.2 GHz, Processor family: AMD A, Processor model: A8-7410. Internal memory: 4 GB, Internal memory type: DDR3L-RS-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 39.6 cm (15.6""), Display resolution: 1366 x 768 pixels, Display surface: Matt"
27104941,Intel Core i5-5xxx 2.2 GHz,4 GB,17.3",500 GB,Black,"Lenovo Essential B70-80, i5-5200U, DVD±RW, Touchpad, Windows 7 Professional, Lithium-Ion (Li-Ion),","Lenovo Essential B70-80. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2.2 GHz, Processor family: Intel Core i5-5xxx, Processor model: i5-5200U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 43.9 cm (17.3""), Display resolution: 1600 x 900 pixels,"
29376694,"Intel Core i3-4xxx 1,7 GHz",4 GB,15.6",1000 GB,Black,"Lenovo Essential G50-80, i3-4005U, DVD±RW, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion)","Lenovo Essential G50-80. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 1.7 GHz, Processor family: Intel Core i3-4xxx, Processor model: i3-4005U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 1000 GB, Storage media: HDD, Hard drive capacity: 1000 GB. Display diagonal: 39.6 cm (15.6""), Display resolution: 1366 x 768 pixels"
28467014,"Intel Core i3-4xxx 1,9 GHz",4 GB,13.3",500 GB,Black,"Lenovo IdeaPad Yoga 2 13, i3-4030U, Touchpad, Windows 8.1, Lithium Polymer (LiPo), 64-bit,","Lenovo IdeaPad Yoga 2 13. Product type: Hybrid (2-in-1), Colour of product: Black, Form factor: Convertible (Folder). Processor frequency: 1.9 GHz, Processor family: Intel Core i3-4xxx, Processor model: i3-4030U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: Hybrid-HDD, Hard drive interface: SATA. Display diagonal: 33.8 cm (13.3""), Display resolution: 1920 x 1080"
26058615,"Intel Celeron 2,16 GHz",2 GB,11.6",128 GB,Black,"Lenovo N21, N2840, Touchpad, Chrome OS, Polymer, Intel Celeron, 802.11a, 802.11ac, 802.11b, 802.11g","Lenovo N21. Product type: Chromebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2.16 GHz, Processor family: Intel Celeron, Processor model: N2840. Internal memory: 2 GB, Internal memory type: DDR3L-SDRAM, Maximum internal memory: 4 GB. Total storage capacity: 16 GB, Storage media: SSD, Solid-state drive capacity: 16 GB. Display diagonal: 29.5 cm (11.6""), Display resolution: 1366 x 768 pixels"
29755564,"Intel Core i3-4xxx 1,9 GHz",4 GB,15.6",500 GB,Black,"Lenovo Yoga 500 15, i3-4030U, Touchpad, Windows 8.1, Lithium Polymer (LiPo), 64-bit, Intel Core i3-4xxx","Lenovo Yoga 500 15. Product type: Notebook, Colour of product: Black, Form factor: Convertible (Folder). Processor frequency: 1.9 GHz, Processor family: Intel Core i3-4xxx, Processor model: i3-4030U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 39.6 cm (15.6""), Display resolution: 1366 x 768 pixels"
30579515,"Intel Core i5-6xxx 2,3 GHz",4 GB,13.3",128 GB,Grey,"Toshiba Portégé Portégé Z30-C-10N , i5-6200U, DualPoint, Windows 7 Professional","Toshiba Portégé Portégé Z30-C-10N . Product type: Notebook, Colour of product: Grey, Metallic, Form factor: Clamshell. Processor frequency: 2.3 GHz, Processor family: Intel Core i5-6xxx, Processor model: i5-6200U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 128 GB, Storage media: SSD, Solid-state drive capacity: 128 GB. Display diagonal: 33.8 cm (13.3""), Display resolution: 1920 x 1080"
26512671,AMD A 2 GHz,6 GB,15.6",750 GB,Black,"Toshiba Satellite C55DT-B5153, A8-6410, 5 - 35 °C, 20 - 80%, 0 - 3000 m, 0 - 10000 m, DVD Super Mult","Toshiba Satellite C55DT-B5153. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2 GHz, Processor family: AMD A, Processor model: A8-6410. Internal memory: 6 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 750 GB, Storage media: HDD, Hard drive capacity: 750 GB. Display diagonal: 39.6 cm (15.6""), Display resolution: 1366 x 768 pixels, Aspect ratio: 16:9"
27277017,AMD A 2 GHz,6 GB,17.3",750 GB,Black,"Toshiba Satellite C75D-C7232, A6-7310, 5 - 35 °C, -20 - 60 °C, 20 - 90%, 5 - 95%, 0 - 3000 m","Toshiba Satellite C75D-C7232. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2 GHz, Processor family: AMD A, Processor model: A6-7310. Internal memory: 6 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 750 GB, Storage media: HDD, Hard drive capacity: 750 GB. Display diagonal: 43.9 cm (17.3""), Display resolution: 1600 x 900 pixels, Aspect ratio: 16:9"
30783507,Intel Core i3-5xxx 2 GHz,4 GB,17.3",500 GB,Black,"Toshiba Satellite Pro C70-C-1FV, i3-5005U, DVD Super Multi DL, Touchpad, Windows 10 Home, Lithium-Ion (Li-Ion), 64-bit","Toshiba Satellite Pro C70-C-1FV. Product type: Notebook, Colour of product: Black, Form factor: Clamshell. Processor frequency: 2 GHz, Processor family: Intel Core i3-5xxx, Processor model: i3-5005U. Internal memory: 4 GB, Internal memory type: DDR3L-SDRAM, Memory clock speed: 1600 MHz. Total storage capacity: 500 GB, Storage media: HDD, Hard drive capacity: 500 GB. Display diagonal: 43.9 cm (17.3""), Display resolution: 1600 x 900 pixels, Display surface: Matt"
