externalId,name.fr,slug.fr
282,commutateur écran-clavier-souris,282_commutateur-ecran-clavier-souris
283,commutateurs pour imprimantes,283_commutateurs-pour-imprimantes
287,fournitures d'appareils de stockages de données,287_fournitures-dappareils-de-stockages-de-donnees
291,disquettes,291_disquettes
292,CDs vierges,292_cds-vierges
293,cassettes vierges,293_cassettes-vierges
294,disques HD vierges,294_disques-hd-vierges
298,boîtiers et étuis de supports de stockages,298_boitiers-et-etuis-de-supports-de-stockages
300,bureau,300_bureau
302,photocopieurs,302_photocopieurs
303,faxs,303_faxs
304,multifonctions,304_multifonctions
306,massicots,306_massicots
307,relieuses,307_relieuses
312,impressions recto verso,312_impressions-recto-verso
314,bacs d'alimentations,314_bacs-dalimentations
316,calculatrices,316_calculatrices
322,fournitures issues d'un procédé de lamination,322_fournitures-issues-dun-procede-de-lamination
323,films issues d'un procédé de lamination,323_films-issues-dun-procede-de-lamination
325,machines à timbrer,325_machines-a-timbrer
332,appuis,332_appuis
353,trieuses,353_trieuses
355,machines à écrire,355_machines-a-ecrire
356,roulettes pour imprimantes,356_roulettes-pour-imprimantes
360,machines à laminer,360_machines-a-laminer
363,accessoires de stockage pour appareils de bureau,363_accessoires-de-stockage-pour-appareils-de-bureau
364,cartouches de nettoyage,364_cartouches-de-nettoyage
367,kits de nettoyage pour ordinateurs,367_kits-de-nettoyage-pour-ordinateurs
369,protections d'unités de fixation,369_protections-dunites-de-fixation
370,huiles d'unités de fixation,370_huiles-dunites-de-fixation
371,lingettes d'unités de fixation,371_lingettes-dunites-de-fixation
372,unités de fixation (fusers),372_unites-de-fixation-fusers
373,fournitures d'imprimantes,373_fournitures-dimprimantes
374,courroies d'imprimantes,374_courroies-dimprimantes
375,cartouches toner et laser,375_cartouches-toner-et-laser
376,rouleaux de transfert,376_rouleaux-de-transfert
377,cartouches d'encre,377_cartouches-dencre
378,bâtons d'encre,378_batons-dencre
379,matériels de nettoyage d'imprimantes,379_materiels-de-nettoyage-dimprimantes
380,imprimantes de développement,380_imprimantes-de-developpement
381,tambour imprimante,381_tambour-imprimante
388,matériels de reliure,388_materiels-de-reliure
390,matériels et accessoires de bureau,390_materiels-et-accessoires-de-bureau
392,modules de classement de bureau,392_modules-de-classement-de-bureau
393,bacs de rangement de bureau,393_bacs-de-rangement-de-bureau
394,serres-livres,394_serres-livres
400,caisses enregistreuses,400_caisses-enregistreuses
401,plateaux de caisses,401_plateaux-de-caisses
403,fournitures pour dessin,403_fournitures-pour-dessin
404,papeteries,404_papeteries
405,papiers film à dessin,405_papiers-film-a-dessin
406,compas à secteur,406_compas-a-secteur
407,papiers brouillon,407_papiers-brouillon
413,triangles,413_triangles
415,tableaux,415_tableaux
416,tableaux de bord,416_tableaux-de-bord
419,tableaux à lettres & accessoires,419_tableaux-a-lettres-accessoires
422,tableaux d'affichage & accessoires,422_tableaux-daffichage-accessoires
423,tableaux magnétiques & accessoires,423_tableaux-magnetiques-accessoires
424,systèmes de planification,424_systemes-de-planification
425,carnets d'adresses & recharges,425_carnets-dadresses-recharges
426,calendriers,426_calendriers
428,agendas & recharges,428_agendas-recharges
431,fournitures de courrier,431_fournitures-de-courrier
432,tubes d'expédition,432_tubes-dexpedition
433,pochettes d'expédition,433_pochettes-dexpedition
434,envelopes à fenêtre,434_envelopes-a-fenetre
436,enveloppes,436_enveloppes
438,fournitures de bureaux,438_fournitures-de-bureaux
440,dérouleurs adhésifs,440_derouleurs-adhesifs
443,ôtes agrafes,443_otes-agrafes
445,agrafeuses,445_agrafeuses
446,ouvres-lettres,446_ouvres-lettres
447,ciseaux,447_ciseaux
448,tailles-crayons,448_tailles-crayons
449,protèges doigts,449_proteges-doigts
450,sous-mains,450_sous-mains
451,humidificateurs,451_humidificateurs
452,ouvres-lettres mécaniques,452_ouvres-lettres-mecaniques
453,instruments d'écriture,453_instruments-decriture
454,stylos roller,454_stylos-roller
455,sets de stylos & crayons,455_sets-de-stylos-crayons
456,stylos-plume,456_stylos-plume
457,stylos à bille,457_stylos-a-bille
459,crayons de papier,459_crayons-de-papier
460,crayons de couleur,460_crayons-de-couleur
461,marqueurs,461_marqueurs
463,craies,463_craies
464,stylos-feutre,464_stylos-feutre
467,flacons correcteur liquide,467_flacons-correcteur-liquide
469,stylos correcteurs,469_stylos-correcteurs
471,mines,471_mines
473,cassettes d'encre pour tampons,473_cassettes-dencre-pour-tampons
474,"fichiers, classeurs et pochettes",474_fichiers-classeurs-et-pochettes
475,bacs de classement,475_bacs-de-classement
477,classeurs à anneaux,477_classeurs-a-anneaux
480,matériels de présentation,480_materiels-de-presentation
481,intercalaires de classement,481_intercalaires-de-classement
482,portes cartes de visite,482_portes-cartes-de-visite
483,intercalaires,483_intercalaires
484,fichiers,484_fichiers
485,blocs-notes,485_blocs-notes
486,protèges documents,486_proteges-documents
489,bracelets élastiques,489_bracelets-elastiques
490,pics papiers,490_pics-papiers
491,anneaux de reliure,491_anneaux-de-reliure
492,trombones,492_trombones
493,reliures,493_reliures
494,punaises,494_punaises
495,agraphes,495_agraphes
558,projecteurs,558_projecteurs
559,pointeurs lumineux,559_pointeurs-lumineux
560,lampes de projection,560_lampes-de-projection
561,écrans de projection,561_ecrans-de-projection
562,projecteurs de diapositives,562_projecteurs-de-diapositives
565,rétroprojecteurs,565_retroprojecteurs
566,projecteurs de film,566_projecteurs-de-film
567,vidéo-projecteurs,567_video-projecteurs
571,photos et vidéos,571_photos-et-videos
574,caméras vidéos,574_cameras-videos
575,appareils photos numériques,575_appareils-photos-numeriques
577,webcams,577_webcams
584,caméscopes numériques,584_camescopes-numeriques
585,accessoires & consommables d'appareil photo,585_accessoires-consommables-dappareil-photo
586,flashs,586_flashs
587,trépieds,587_trepieds
588,lentilles et filtres d'appareil photo,588_lentilles-et-filtres-dappareil-photo
597,pellicules couleurs,597_pellicules-couleurs
598,pellicules noir et blanc,598_pellicules-noir-et-blanc
599,pellicules polaroid,599_pellicules-polaroid
604,cassettes vierges,604_cassettes-vierges
692,papiers imprimante,692_papiers-imprimante
700,papiers fax,700_papiers-fax
702,papiers rouleau,702_papiers-rouleau
704,papiers graphique,704_papiers-graphique
705,papiers de comptabilité,705_papiers-de-comptabilite
706,blocs-notes,706_blocs-notes
708,recharges de papier,708_recharges-de-papier
709,formulaires commerciaux,709_formulaires-commerciaux
710,intercalaires,710_intercalaires
714,papiers jet d'encre,714_papiers-jet-dencre
717,cartes de visite,717_cartes-de-visite
718,cartes de voeux,718_cartes-de-voeux
787,services d'installation,787_services-dinstallation
788,extensions de garantie et support,788_extensions-de-garantie-et-support
803,licences et mises à jour de logiciel,803_licences-et-mises-a-jour-de-logiciel
814,batteries rechargeables,814_batteries-rechargeables
816,alimentations d'énergie,816_alimentations-denergie
817,alimentations d'énergie non interruptible,817_alimentations-denergie-non-interruptible
819,Dispositifs de sécurité,819_dispositifs-de-securite
820,security device components,820_security-device-components
822,sacoches d'équipements,822_sacoches-dequipements
823,sacs et valises,823_sacs-et-valises
826,sacs à dos,826_sacs-a-dos
827,adaptateurs de puissance & onduleurs,827_adaptateurs-de-puissance-onduleurs
829,chargeurs de batterie,829_chargeurs-de-batterie
830,câbles pour ordinateurs et périphériques,830_cables-pour-ordinateurs-et-peripheriques
832,pare-feux (matériel),832_pare-feux-materiel
833,entrées et régulateurs,833_entrees-et-regulateurs
836,livres & manuels de logiciels,836_livres-manuels-de-logiciels
839,garanties et supports,839_garanties-et-supports
840,filtres d'ozone,840_filtres-dozone
842,expéditeurs digitaux,842_expediteurs-digitaux
843,films d'impression,843_films-dimpression
844,films blanc mat,844_films-blanc-mat
845,textiles imprimables,845_textiles-imprimables
846,têtes d’impression,846_tetes-dimpression
847,papiers photos,847_papiers-photos
848,films polypropylène,848_films-polypropylene
850,lecteurs et enregistreurs MP3/MP4,850_lecteurs-et-enregistreurs-mp3mp4
853,films transparents,853_films-transparents
854,papiers à écrire,854_papiers-a-ecrire
857,télécommandes,857_telecommandes
858,lecteurs de carte mémoire,858_lecteurs-de-carte-memoire
859,accessoires de projecteur,859_accessoires-de-projecteur
860,CDs sur support axial,860_cds-sur-support-axial
862,boites de stockage,862_boites-de-stockage
867,connecteurs de fils,867_connecteurs-de-fils
868,étiquettes code barre,868_etiquettes-code-barre
869,cables électriques,869_cables-electriques
872,logiciels de surveillance de réseau,872_logiciels-de-surveillance-de-reseau
875,logiciels de réseau de stockage,875_logiciels-de-reseau-de-stockage
878,logiciels de pare-feu,878_logiciels-de-pare-feu
880,cables de téléphone,880_cables-de-telephone
883,câbles de réseau,883_cables-de-reseau
885,logiciels d'email,885_logiciels-demail
886,logiciels de conférence,886_logiciels-de-conference
887,logiciels de messagerie instantanée,887_logiciels-de-messagerie-instantanee
888,"PDAs, GPSs, téléphones portables et accessoires",888_pdas-gpss-telephones-portables-et-accessoires
889,polices de charactères,889_polices-de-characteres
890,contrôleurs périphériques,890_controleurs-peripheriques
893,logiciels GPS,893_logiciels-gps
894,cartes filles,894_cartes-filles
896,clients légers/PC lame,896_clients-legerspc-lame
897,tablettes,897_tablettes
900,éditeurs HTML,900_editeurs-html
902,mémoires flash,902_memoires-flash
903,écrans plasma,903_ecrans-plasma
904,logiciels CRM,904_logiciels-crm
905,rubans d'impression,905_rubans-dimpression
907,destructeurs de papier,907_destructeurs-de-papier
909,points d'accès réseaux locaux sans fil,909_points-dacces-reseaux-locaux-sans-fil
910,navigators,910_navigators
911,modules de mémoire,911_modules-de-memoire
915,meubles d'imprimantes,915_meubles-dimprimantes
916,adaptateurs de scanner,916_adaptateurs-de-scanner
917,bacs de sortie,917_bacs-de-sortie
918,lecteurs optiques de magnétophone,918_lecteurs-optiques-de-magnetophone
920,composants de commutation,920_composants-de-commutation
921,"ventilateurs, refoidisseurs et radiateurs",921_ventilateurs-refoidisseurs-et-radiateurs
922,imprimantes photo,922_imprimantes-photo
